Data;Time;RCE
20201022;6;188.75
20201022;7;226.50
20201022;8;222.48
20201022;9;224.53
20201022;10;222.84
20201022;11;218.79
20201022;12;221.30
20201022;13;222.02
20201022;14;224.28
20201022;15;223.39
20201022;16;227.91
20201022;17;231.50
20201022;18;231.51
20201022;19;275.82
20201022;20;275.09
20201022;21;224.83
20201022;22;220.88
20201022;23;229.44
20201022;24;223.38
20201023;1;213.04
20201023;2;208.09
20201023;3;193.82
20201023;4;192.70
20201023;5;208.10
20201023;6;219.27
20201023;7;263.29
20201023;8;244.00
20201023;9;273.10
20201023;10;266.33
20201023;11;258.88
20201023;12;252.05
20201023;13;247.22
20201023;14;244.86
20201023;15;254.66
20201023;16;271.44
20201023;17;277.24
20201023;18;295.22
20201023;19;305.66
20201023;20;307.57
20201023;21;297.61
20201023;22;229.84
20201023;23;249.80
20201023;24;222.81
20201024;1;219.45
20201024;2;220.50
20201024;3;222.39
20201024;4;220.89
20201024;5;220.80
20201024;6;217.06
20201024;7;223.01
20201024;8;222.46
20201024;9;250.75
20201024;10;262.43
20201024;11;269.91
20201024;12;267.48
20201024;13;264.34
20201024;14;271.33
20201024;15;261.50
20201024;16;247.51
20201024;17;225.19
20201024;18;235.94
20201024;19;270.79
20201024;20;270.56
20201024;21;226.43
20201024;22;221.34
20201024;23;217.67
20201024;24;209.70
20201025;1;193.66
20201025;2;190.75
20201025;2A;186.03
20201025;3;185.90
20201025;4;187.47
20201025;5;188.98
20201025;6;188.96
20201025;7;186.40
20201025;8;188.61
20201025;9;192.70
20201025;10;194.60
20201025;11;197.38
20201025;12;197.43
20201025;13;195.59
20201025;14;194.68
20201025;15;194.26
20201025;16;194.74
20201025;17;215.81
20201025;18;225.52
20201025;19;240.57
20201025;20;217.70
20201025;21;214.19
20201025;22;212.00
20201025;23;196.04
20201025;24;193.28
20201026;1;186.64
20201026;2;184.56
20201026;3;182.32
20201026;4;185.68
20201026;5;194.73
20201026;6;199.73
20201026;7;269.74
20201026;8;256.37
20201026;9;288.40
20201026;10;284.91
20201026;11;265.80
20201026;12;280.12
20201026;13;278.31
20201026;14;260.90
20201026;15;260.00
20201026;16;260.37
20201026;17;281.90
20201026;18;313.50
20201026;19;293.69
20201026;20;276.58
20201026;21;243.15
20201026;22;216.95
20201026;23;225.66
20201026;24;198.28
20201027;1;195.70
20201027;2;194.77
20201027;3;194.80
20201027;4;194.77
20201027;5;194.66
20201027;6;201.11
20201027;7;259.07
20201027;8;240.05
20201027;9;283.96
20201027;10;292.96
20201027;11;282.38
20201027;12;285.26
20201027;13;279.73
20201027;14;273.01
20201027;15;266.61
20201027;16;267.61
20201027;17;298.24
20201027;18;310.72
20201027;19;305.57
20201027;20;288.91
20201027;21;237.72
20201027;22;222.33
